,Word,Value,Freq
22724,resistance,-1.4755250464939984,1
12019,speechless,-1.0288082862830616,2
9751,degraded,-0.5500999046951998,1
17630,slamming,-0.4810586104248495,2
19303,underrated,-0.4598434287930907,1
5371,assholes,-0.42279029379315136,1
24633,futile,-0.4207262442454236,1
22899,sickest,-0.37172475975586217,1
8928,falters,-0.328944086185093,1
21421,override,-0.3264485718792435,2
14448,short-,-0.31925487090051974,1
16327,doki,-0.273064028511237,1
4162,declining,-0.2686677461510601,2
4737,currents,-0.26722292466056424,1
5173,disregard,-0.2384337178071617,3
6203,hysterical,-0.22874172672708645,2
16898,vexed,-0.22510099150470989,1
14429,stripped,-0.21652358277894154,2
21891,thoughtless,-0.20011161635913982,1
11970,deceitful,-0.19854837991262242,1
15749,averagely,-0.19518016959296683,1
14016,dismissive,-0.19508674757994834,3
6129,pathetic,-0.19421809391817577,11
12441,halted,-0.19344040039025176,1
5445,shitty,-0.18571077908856867,12
10398,uneventful,-0.18359784680282518,1
1333,downfall,-0.18043634634549988,14
8374,accuses,-0.17644868137853426,1
22356,strongest,-0.1750288080435707,2
15413,déjeuner,-0.17384475901149904,1
23940,spreads,-0.1634563871832542,1
14143,failure,-0.16139365359683563,6
12432,crapload,-0.15967657387120068,1
8872,inferior,-0.1558707574115667,3
702,lacking,-0.1544679713109935,47
12003,considers,-0.15333690419183907,1
8265,slowest,-0.15276295874697446,5
7262,unfortunate,-0.15111746000951704,16
11636,ruins,-0.15014012427976192,4
4448,marino,-0.1469304905443372,3
21363,antsy,-0.14436118768612688,1
19118,nobel,-0.14328501524764475,1
14423,disdain,-0.13800296459044437,1
23225,messiest,-0.13725609964611074,1
6694,outrageous,-0.1332355303395706,9
9628,installations,-0.1329119103024894,1
5178,infact,-0.13243645973969323,1
3241,coarse,-0.13085161843926232,2
21195,obliterated,-0.1284947297637596,1
16326,toki,-0.12631369758624922,1
14191,bdubs,-0.12363791292986281,1
7762,robbed,-0.1230792938829475,2
12348,attorneys,-0.12207934714904449,1
21265,coffeeee,-0.11899241931916171,1
11053,immature,-0.11802851350111965,1
16993,peacock,-0.11681696814645792,1
16994,feathers,-0.1155533883815344,1
2960,mismatched,-0.11525809503517677,2
19292,drippy,-0.1109271038316831,1
20430,coutu,-0.11091695600240152,2
7713,tentative,-0.11054321353554973,3
23965,-all,-0.10782886150456265,1
24009,peracriptions,-0.10685162111337759,1
567,cobra,-0.10653148664010537,1
23300,-incompetent,-0.10449879570595517,1
6084,understatment,-0.10423406769414874,1
6399,odds,-0.10361872094723176,5
14474,muddy,-0.10119469810477656,3
8012,absurd,-0.10095714582050504,4
24526,cainiac,-0.10047557328843845,1
14776,forfeit,-0.0996350541109573,1
17605,upsetting,-0.09941067882045189,3
6602,weak,-0.09877768822765985,16
15689,staggeringly,-0.09826651782422773,1
22472,uppity,-0.09608751504198282,1
16420,cachet,-0.09604912861832668,1
19438,claudia,-0.09596004929276436,1
13405,nonexistent,-0.09508831340200295,2
10146,inconsistent,-0.0916338285182949,9
3082,worst,-0.09062027830146656,192
1618,bland,-0.08958833860016824,158
8045,advertising,-0.08916446104917164,8
3074,contempt,-0.08680692484964078,2
502,terrible,-0.08479589656332068,186
15875,nowland,-0.08478967045841657,1
6543,rises,-0.08391875448202575,2
8952,observed,-0.08260791354432673,3
23367,moleskines,-0.08222352626523964,1
20658,unacceptably,-0.0821301483518542,1
14539,sewer,-0.08142147816928451,1
683,hated,-0.07977163399484495,10
11331,junk,-0.07955766339755414,4
15387,deviant,-0.07864928972553406,1
4380,uneven,-0.07722869473589956,12
19057,crawled,-0.0769216612015723,3
16641,150.00service,-0.07601507231670213,1
8438,exaggerates,-0.07579176401724667,1
23250,committal,-0.07555720770592975,1
10465,luc,-0.07468930100107435,1
16755,thr,-0.07436554187462086,1
14675,blandest,-0.07421831292028973,1
23681,infuriated,-0.07393833483531156,1
2697,poor,-0.07318259048127833,138
23813,jp,-0.07155015347501296,1
17358,hinder,-0.07136153877531581,1
22311,suspects,-0.07125340766268674,1
14786,devalued,-0.07086099289759637,1
19144,deteriorate,-0.07035739372255276,2
10064,jaded,-0.06883883542112929,2
23227,assister,-0.06798996771395449,1
6992,308,-0.06760418030159594,1
