,column1,column2
5306,friendzoned,-0.037400953550903365
3938,jobro,-0.029772262280642784
3960,illigal,-0.02908610559101931
4221,konami,-0.0286851126878384
4122,artest,-0.028617440543037227
1109,iemand,-0.028535821090213707
1389,reageren,-0.028274383045751927
4049,tegen,-0.02826598248712244
3214,kijkt,-0.027477905463314786
5890,beiber,-0.027240612666733468
6516,weten,-0.027234058737400393
5753,wut,-0.027222272761572082
6129,toevallig,-0.026992924193134038
2921,peur,-0.026969658951726386
2628,smfh,-0.026180167619396084
3211,jij,-0.026138785000596278
4342,busquets,-0.026127252031908958
5167,misunderstood,-0.026058864445805185
1047,scarier,-0.025973872447140542
98,afraid,-0.025774427875739865
2124,wtf,-0.02561085224394372
2897,lmaoooo,-0.02558904499608469
2537,shaq,-0.025558508299155302
1963,idk,-0.025426641409674437
5376,hodet,-0.025204572866649257
3244,idgaf,-0.025191140614193225
4374,krijgt,-0.02513514388224522
2617,eww,-0.025070403566369467
5610,retaliate,-0.02505942931928164
4294,smmfh,-0.024861822915114774
4206,cazzo,-0.024646978916235584
6559,overprotected,-0.02432312509826987
4327,cowards,-0.024313211116373603
5801,stupidest,-0.023981961991759504
1913,niggas,-0.023918406247608517
3418,klopt,-0.02359652496939025
4436,vette,-0.02357736149446286
2640,aucun,-0.023560590071497987
3160,spammed,-0.02355574015412703
269,smh,-0.023546758450246397
3759,didnt,-0.0235340284944287
4445,deleted,-0.023230009895557496
3730,deters,-0.023189332860046263
1205,douches,-0.02313670060185152
5168,mistake,-0.02307372852382501
1686,smdh,-0.023041657694863167
1446,stfu,-0.02302683131318299
4688,misschien,-0.022914071467436153
657,accidentally,-0.022909532225160182
922,leeg,-0.022880047960170367
3913,enraged,-0.022867210357403002
4605,medo,-0.022842899973877204
2765,nigga,-0.022809596644568286
3559,incorrect,-0.022785262941278497
460,scared,-0.022697042495670595
5883,vertrouwen,-0.022683932877766468
2859,veut,-0.0226827613311749
2590,slecht,-0.02252538982621632
3778,haters,-0.022504615206964666
433,rapist,-0.022476567724254683
5775,ofzo,-0.0224464120932823
4768,shoulda,-0.02232084367312902
541,wordt,-0.022305662069138216
6466,mentira,-0.02225230860764248
5709,intimidated,-0.022170895471729245
1569,nydailynews,-0.02216656804860274
6547,naw,-0.022127898737377805
5954,wus,-0.022110485005627806
626,sais,-0.02208567900765269
2924,insecure,-0.02193542734042834
453,dnt,-0.021909113024347324
688,contre,-0.02190386096297047
6584,juges,-0.02184560670854472
2564,bereikt,-0.021817089310619715
5622,gawker,-0.021804172039858467
4098,intressant,-0.021798999041904625
3819,ligit,-0.02177855576795381
4982,lijkt,-0.021644021100494754
2314,ewwwwww,-0.02163915347769701
5758,zei,-0.02151968609710137
2004,volgens,-0.021459398735501456
2975,unfollow,-0.02143588564739163
817,verkeerde,-0.021421211998127233
945,warned,-0.02141609584571785
3529,waz,-0.021322371138140277
4302,dumb,-0.021307905605519952
4630,balotelli,-0.02129962988740029
5951,wuld,-0.021275324182749345
5048,ooit,-0.02125577384389934
1768,provoked,-0.02123421708165837
6303,threaten,-0.02122972297313818
6458,alsof,-0.021158245129561173
4398,zaken,-0.021117277011214863
4511,police-,-0.021098423687310984
2794,paura,-0.021095955727119236
2672,hershel,-0.021070782660229145
964,camiseta,-0.021050576535437824
3054,dansen,-0.02103785075551751
3977,lmfao,-0.021023090279399567
2434,takut,-0.021020741994283654
4092,douche,-0.02097461061130278
4981,illegal,-0.020936253513287813
1173,bekend,-0.020928366651232107
6048,kourtney,-0.02081264043685995
4148,embarrased,-0.020731489895453686
3806,blindside,-0.02072850717691212
3906,unpatriotic,-0.020720206593803005
3951,schaal,-0.02071713509993515
5533,pussys,-0.020627082311567648
3389,niggaz,-0.02049601687801534
2730,olvido,-0.020482329433109007
6254,kanye,-0.020430779494363158
2135,nah,-0.02042319727590821
3678,stabbed,-0.02042019454394733
5055,spartans,-0.020372841228491437
3782,hid,-0.02035890853554525
1269,some1,-0.02032381834918937
6484,knoww,-0.020320249523450795
535,dont,-0.020059364457400725
3969,confronts,-0.020011265196721747
2836,dingue,-0.019983923282967584
144,stupid,-0.019980023901394275
5818,lied,-0.01997795348889228
3603,dumber,-0.01996362275515319
4803,wasnt,-0.01994752679961912
3665,unintentionally,-0.01991472794650521
4440,jwz,-0.019899126684793086
6014,punkass,-0.019870703489072335
5793,fuckyou,-0.019855859889789478
386,ik,-0.01975720366113484
1303,rabid,-0.0197445763572502
6090,zich,-0.019697099265967723
1162,straightup,-0.019679959715771366
2330,dit,-0.019667888789736045
4482,retirer,-0.019645494923857334
3877,zwart,-0.019641623695732306
6431,folle,-0.019608295551252444
4456,totp,-0.01960407208543849
583,eigenlijk,-0.019578562709422417
5834,misbah,-0.01955709029806218
5530,scumbag,-0.019550965224452783
2287,juss,-0.019467580921913013
3933,fooled,-0.01941938329597995
5073,avesse,-0.019381632275674566
3170,mocked,-0.019367158043889533
384,wat,-0.019221844843612043
4956,fonctionne,-0.019214675334772006
6391,hesitant,-0.019178839186025923
1497,disgusted,-0.019152233523785325
2484,heeft,-0.019101146937252497
3075,dunno,-0.019086734645547554
3556,shocking,-0.01908642365817663
6123,naaah,-0.019080933885992794
4862,rumor,-0.019069448316933624
6417,twitt,-0.019067809775452225
6157,piersmorgan,-0.019042699346365984
4265,dingen,-0.019039762715885145
2006,gaat,-0.01902002702688744
1972,ppl,-0.019010858591077217
4899,upset,-0.01896451725807505
3401,ignorant,-0.018961068763597815
2,hulp,-0.01895294701412185
1879,paranoid,-0.018918653266429247
917,hoofd,-0.018916845447122892
6244,gemiddelde,-0.018880464303560947
6562,underage,-0.01887816658464157
5190,betted,-0.018867455822434192
6072,uhh,-0.01886461509243983
3254,critics,-0.018831247377219307
315,o.o,-0.018818901393304006
5059,heisman,-0.01881420547523391
4185,unfollowing,-0.018745562723191042
5229,adebayor,-0.018707948186811384
6107,pissed,-0.01870197954378204
3290,nooo,-0.018693083566417794
1038,confused,-0.018692961426977087
2493,lmao,-0.018667106177239046
4631,mancini,-0.018622710224600065
1705,doesnt,-0.018589008654166652
5154,sinned,-0.018543680735476964
1496,disgusting,-0.01850179559869403
3005,sayin,-0.018458811218516905
2007,niet,-0.018453927575906758
5996,yhwh,-0.018350361948220265
5199,maakt,-0.01831752482748124
1473,norris,-0.018292821183002565
1519,zat,-0.018268491952452462
3954,hoor,-0.018259165232144776
4254,ineens,-0.018256558055880077
986,daarin,-0.018219056537439444
3995,bitchassness,-0.018143694510197858
2703,prolly,-0.018088814353923902
3914,belittled,-0.018083607245828724
2297,rejected,-0.018081840235355903
6049,kardashian,-0.018042609215948264
2291,hurt,-0.018025975837990278
2996,threat,-0.018015764535314574
3087,gasped,-0.018013986801863318
6609,feds,-0.018007581571575174
1450,omfg,-0.017970214134105798
1190,ugly,-0.017964179444134486
2533,juwan,-0.017924775607438395
1198,rhoa,-0.0179200304217002
814,erachter,-0.01790064598496542
1214,maar,-0.017892128903553933
4386,bruh,-0.01783392605782413
6052,knw,-0.017816701044390298
272,killed,-0.017813432642275653
4715,embarrassing,-0.017795339750592085
4919,zie,-0.01779491357492367
710,prevent,-0.017767761102049914
3513,bruins,-0.01774692276763291
6111,caused,-0.017741695590480902
5179,verwacht,-0.017736892284448285
1943,bully,-0.017689523402034807
148,mistrust,-0.017680806848468417
396,eht,-0.01765334237274348
3197,pfff,-0.017627137215804927
5774,helft,-0.017559304107769725
1839,havent,-0.017512815552042517
5693,vrouw,-0.017497440275103807
5906,akward,-0.017477259118831683
3066,geen,-0.01744528720483361
916,idee,-0.017428166045038072
3942,u.u,-0.017411652020508452
3482,nope,-0.017410734934958785
2318,indians,-0.017386664536995465
2244,hijack,-0.017385438363328596
6505,kreayshawn,-0.01736131943947988
5853,f-ed,-0.017361154423791873
3582,insider,-0.017341903916632533
1399,fake,-0.0173190112218011
3276,kurt,-0.01731402341585635
1543,offensive,-0.017310009321678508
5294,wauw,-0.017306762077921676
3352,yhu,-0.017270093836730775
