,Word,Bert,Distilbert
0,hormones,-0.000144876,-2.74E-05
1,neglect,-0.000128212,-7.38E-06
2,defending,-0.000123769,-5.85E-06
3,shelter,-0.000116594,-1.13E-05
4,keeper,-0.000110028,-3.32E-05
5,pawn,-9.35E-05,5.91E-06
6,avatar,-9.19E-05,4.50E-05
7,govt,-9.16E-05,-3.17E-05
8,bites,-8.76E-05,-3.40E-05
9,deeply,-8.68E-05,-9.36E-06
10,atlantic,-8.65E-05,-2.09E-05
11,greet,-8.55E-05,1.71E-05
12,explains,-8.52E-05,-3.63E-05
13,harsh,-8.19E-05,-1.39E-05
14,playoffs,-8.12E-05,2.54E-05
15,aspect,-8.04E-05,-4.93E-06
16,wounds,-8.04E-05,-1.56E-05
17,designer,-7.76E-05,1.02E-05
18,tragedy,-7.76E-05,-9.11E-06
19,allows,-7.57E-05,-2.62E-05
20,records,-7.40E-05,1.94E-05
21,divorced,-7.13E-05,7.52E-06
22,17th,-6.95E-05,1.25E-06
23,horribly,-6.71E-05,5.61E-05
24,segment,-6.69E-05,1.80E-05
25,blues,-6.56E-05,-2.23E-05
26,lasts,-6.40E-05,-1.74E-05
27,devastated,-6.35E-05,-2.53E-06
28,inadequate,-6.24E-05,2.91E-05
29,teens,-6.16E-05,1.38E-05
30,rangers,-6.00E-05,-1.74E-05
31,somethin,-5.97E-05,-1.64E-05
32,mentions,-5.97E-05,-7.70E-06
33,informed,-5.91E-05,-5.96E-05
34,trusted,-5.78E-05,2.62E-05
35,hugging,-5.65E-05,-1.92E-05
36,violent,-5.56E-05,1.39E-05
37,noticing,-5.54E-05,9.88E-06
38,affects,-5.52E-05,-3.91E-05
39,asia,-5.48E-05,-3.98E-06
40,reporter,-5.41E-05,5.34E-06
41,understood,-5.32E-05,-8.76E-05
42,34,-5.28E-05,-4.43E-06
43,joseph,-5.27E-05,-1.61E-05
44,doom,-5.25E-05,-1.02E-05
45,syria,-5.17E-05,9.47E-06
46,involved,-5.15E-05,-1.22E-05
47,accurate,-5.09E-05,3.86E-05
48,grasp,-5.09E-05,-1.57E-05
49,deadly,-5.00E-05,1.25E-05
50,talked,-5.00E-05,-6.25E-07
51,colder,-4.98E-05,5.91E-06
