,word,score,word_count
0,i've,-0.0005640696272111731,27
1,given,-0.0002728613106194372,26
2,up,-0.0004507735599598935,216
3,my,0.0001429377269706502,273
4,faith,0.0003756405329177058,9
5,in,-2.303916708043713e-05,1968
6,humanity.,-0.0007103182025965301,2
7, ,-0.0001768830793829181,1233
8,there,-0.0002399165250611029,539
9,are,-4.754173755118838e-05,1258
10,just,-0.00029822541762829913,764
11,certain,-0.00014243038370526366,27
12,events,5.808743138545869e-05,14
13,that,-0.00021139061897427095,2391
14,transpire,4.319074314480531e-06,2
15,make,-0.0003430795765428303,170
16,you,-8.640277262368139e-05,841
17,shudder,-0.00010929301843286037,1
18,to,-0.00012437127567615797,4086
19,the,-0.00013860289574853374,5154
20,core.,0.00037921887018607474,2
21,after,0.00010256174830273389,136
22,reading,-0.00013038914405064073,93
23,multiple,-0.0004005720147206502,12
24,articles,-0.0003513271553307258,25
25,today,-0.00023236811630968795,19
26,about,-0.00020565898266490455,898
27,how,-0.00018255356981893326,488
28,shitty,-0.0008473827827780648,4
29,people,-0.00017281930547945185,940
30,can,-0.00010908841907864698,504
31,be,-0.00018310487237603723,1040
32,one,-0.00013938285420467373,301
33,"another,",-0.0003689782933611241,2
34,it,-0.00026372703470070493,1633
35,makes,-7.332614879203351e-05,153
36,me,-9.569825009278388e-05,306
37,beyond,9.258868912855326e-05,11
38,happy,7.597529418263952e-05,36
39,know,-0.00014350758585176157,327
40,individuals,0.00011343267502033271,18
41,own,-0.00020136488047001457,101
42,personal,-0.000523110383790078,11
43,life.,0.00035852628262668607,56
44,  ,0.00029638594866730506,42
45,human,0.0003060654841748269,79
46,greed,-4.400732825464123e-05,3
47,knows,-0.0005965917082977339,11
48,no,-0.00032762050924335813,324
49,bounds.,-0.00010929301843286037,1
50,ego,-0.0006289203498401245,2
51,needs,-0.0002562036968896911,69
52,set,-0.00013093529820104786,17
53,aside,0.00017379438547102073,8
54,and/or,-0.0008316097718446446,5
55,destroyed.,0.0007318672157442859,3
56,what,-0.0001877361720066685,524
57,this,-0.0001949577564581264,1534
58,article,-0.00029374356602315723,423
59,taught,4.2179076058346216e-05,4
60,was,-0.0002567696262400327,854
61,heartbreaks,0.0010206020809740341,1
62,not,-0.0003897033330985214,777
63,end,-2.5379752358705364e-05,56
64,of,-7.982219524115722e-05,2514
65,world.,1.805821558981297e-05,43
66,"yes,",-0.00020636079143931363,6
67,they,-0.00021265726763462894,1158
68,not.,-0.0007215184156267101,17
69,because,-0.0002011564187668627,313
70,precious,0.0010567580084614291,4
71,person,-0.00032808313794992173,98
72,left,0.0002418994043291226,40
73,us,5.4186469947585606e-05,113
74,we,-0.00010529896143859717,767
75,start,-0.0002791085935412152,32
76,living,0.0005234005432558529,50
77,with,-0.0002460764702937084,663
78,an,-0.00015415833648740236,455
79,emotion,0.00016061729910106233,8
80,our,-5.552827357919184e-05,265
81,life,0.0004126194371157976,126
82,has,-0.00012422916162070793,343
83,come,-0.0001303930427972707,92
84,end.,0.0007897926534373994,9
85,isn't,-0.0004412698203972831,53
86,ending,-0.00036452610419728714,11
87,at,-0.00026383229598130173,385
88,"all,",-0.0005047757867916111,13
