,Word,Value,Freq
12444,lacking,-0.3642902312565047,1
3621,succeeded,-0.3325196072593197,1
13795,horrified,-0.29591855836042935,1
7892,lacked,-0.2844207270277871,1
2860,goddamn,-0.2748927319956105,1
11096,slaughtered,-0.26887279361395483,1
1079,dreadful,-0.24405020119382312,2
11239,722,-0.24275454264698604,1
7309,damn,-0.2349260382132895,3
8733,rupp,-0.2329172133307753,1
9055,annoyed,-0.21150763476185552,1
9759,hissed,-0.2088482826948166,1
1657,dies,-0.19345380873702492,10
8315,ailing,-0.19002291800999882,1
8121,termination,-0.18762003330639748,1
5774,abusive,-0.18580826744396436,1
10420,swore,-0.18463350195931694,1
13149,annoyance,-0.17886318271421953,1
13541,vile,-0.1695209608090568,1
6221,hurts,-0.16701567947191845,2
5961,teeth,-0.16390521777634248,1
8586,died,-0.16256771610974857,9
13225,sadr,-0.15749899929263034,1
12172,slap,-0.15668513650422566,1
12679,stabbed,-0.15113352503751634,2
13160,treating,-0.1505283733316486,1
13346,tweeted,-0.14747994251740293,1
3814,stupid,-0.1462362599409424,6
8428,murdered,-0.14489845946691945,1
6922,ignoring,-0.14206799730106637,1
12525,fucking,-0.13422408708846867,2
5329,sink,-0.13247787268722758,1
6275,misery,-0.13198558418523698,2
14375,fails,-0.13099646062561965,1
8483,undermine,-0.1307631538916325,1
13015,matzoh,-0.13020815168968358,1
14664,haunted,-0.12948453028018053,1
6969,sickly,-0.12840263545275835,1
2739,crashed,-0.1282242903342614,1
6281,threatening,-0.12636188084345276,2
1651,slit,-0.12519622354796445,1
11468,clark,-0.12442491864226263,1
9764,controversial,-0.12215712997648454,1
9756,bully,-0.12159949950497559,1
6387,slain,-0.12100455462515187,3
5090,damned,-0.11600677522401959,1
6940,slaughter,-0.11519106346838032,2
10335,threw,-0.11120231946309411,1
5885,denied,-0.10782274223945953,1
7231,cancers,-0.10738975764353038,1
9990,guns,-0.10323562815268476,2
721,declined,-0.1016589828628221,6
10773,koeppel,-0.10109001241549105,1
575,bloody,-0.10072159824267121,10
11877,38,-0.09972198870446958,1
3589,ineffective,-0.09749352645640279,1
2460,bored,-0.09641287418512198,1
9617,struggling,-0.09638789326012713,2
9112,1557,-0.09417098843571026,1
6600,penetrating,-0.09343805764253277,1
10721,meaningless,-0.09207877993823889,1
13625,bombed,-0.09169668124781716,1
4877,stuck,-0.09129293715237786,3
2706,die,-0.09108289827455242,18
5814,outrage,-0.09047324983294384,3
7953,crushing,-0.08991040709666771,3
14404,hurled,-0.08847560137510299,1
13327,neighbours,-0.08722688098411102,1
10125,garlicky,-0.08688277431301306,1
11111,disgust,-0.0861890890333925,2
