,Word,Value,Freq
5436,Luckily ,-3.6524284821273723,1
27169,spoiled,-2.959430419671909,1
14588,Shame,-2.8887139311761825,1
25796,sergio ,-2.878440180650124,1
22586,Curious,-2.6347773328729165,1
14752,rumors,-2.4319093420958513,1
25917,MADNESS,-2.3917079085444386,1
20793,Hates ,-2.3631741186208797,2
21434,shocking,-2.297639467268765,1
13850,MISSED,-2.2473205171017607,1
12440,Rejects ,-2.190376295575074,1
898,hesitant ,-2.121727153092312,1
27050,kidnap ,-2.063402191845257,1
25797,diving ,-1.9271380247978063,1
28902,lOSE ,-1.910874173291424,1
11629,Sadness,-1.910114213754559,1
26909,rebel,-1.8865401910671038,1
20242,Diaries ,-1.883049267258436,1
2493,Boredom,-1.8559443797513004,1
21810,denial ,-1.8240336570788558,1
20905,EAT,-1.8192037116640654,1
10364,unaware ,-1.7578263939260381,2
29575,Sober,-1.7441711439972831,1
16840,Darkness,-1.7355679816321323,1
16566,Sadness ,-1.722067881417486,3
12278,unpredictable,-1.7210381258988665,1
20197,Revenge ,-1.6959778295498626,1
23272,Jew ,-1.688873684220016,1
9732,FACTOR,-1.6543979881301758,1
26041,KNICKS ,-1.6522457295626345,1
12550,mayhem,-1.6226739025212684,2
9423,unmarked,-1.6216235691551435,1
1554,degraded ,-1.620861667484948,1
19144,vicinity,-1.6100587595592846,1
14695,expectations ,-1.6056561618570298,3
9504,solitude ,-1.6012200602702873,1
6358,Fury,-1.5979669586449237,1
14562,Babe ,-1.5774477034415242,2
27423,Spartans,-1.5721127012120264,1
18459,Afraid ,-1.5709213566658542,6
7380,Resist ,-1.5634775779076984,1
17707,mathematics,-1.557185977049826,1
29648,loneliness,-1.5463946324449165,1
10552,FEAR,-1.546321665680087,3
2862,iran,-1.5353864454872772,1
6049,detrimental ,-1.5330346830144403,2
29279,mode ,-1.5283628072306426,1
8748,Chance,-1.5267682904410202,1
18932,Browne ,-1.5108191209534805,1
26791,ironic,-1.5075814322720196,1
11626,dangerous,-1.5043149832646634,1
21525,Closed,-1.5014130346595296,1
16961,defeated,-1.495024833879294,1
11817,(      ,-1.486539729791028,1
22095,hybrid,-1.4819289720072997,1
23013,curses ,-1.481561681149728,1
25243,Courage,-1.463489447363342,1
3340,wharfâ˜¹,-1.4563402550346736,1
12831,Hardest,-1.455517922171242,3
24827,especially,-1.4519509429713393,1
21041,Disgust ,-1.451731405992221,1
20334,Oyster ,-1.4276608140895801,1
10754,Anger,-1.4187564208624281,1
16874,conservation,-1.418375532735478,1
28994,Pronouns,-1.4143074119374868,1
27034,Committee,-1.4034542374667667,1
25912,mania ,-1.4021777241761464,1
27270,Fearful ,-1.3957257751535663,1
24901,Standards,-1.3826502266384306,1
17973,lacking ,-1.373202482753932,2
9730,GAME ,-1.3723222986455,1
18411,SEX,-1.3645352610079946,1
4516,â€˜Truly ,-1.3574508737107474,1
2231,bile ,-1.3542772986201776,1
23271,independence ,-1.3511719027120206,1
5225,Weighed ,-1.3505689812818031,1
9589,VISIT,-1.3399904710250068,1
5212,regulation,-1.3380001993029267,1
28181,trusting,-1.3366006772354977,1
23535,torn ,-1.3335543012889384,1
5171,SPITE,-1.330681555804199,1
6018,FOOL,-1.3276648138496823,2
10213,dreadful,-1.324705826099636,1
20540,Football,-1.3243484155807694,2
20195,Generation ,-1.316392569887291,1
14444,betrayal,-1.3120015811753114,5
28945,maintains ,-1.3115180238854205,1
17000,Unable ,-1.3089695893540667,1
29096,bland ,-1.307504838059192,1
17219,functioning,-1.3025499802073441,1
