,column1,column2
1389,reageren,-0.0023910148446448587
1047,scarier,-0.002331007145478576
98,afraid,-0.0022881739286372406
460,scared,-0.0021794836578489804
2794,paura,-0.0020003845971700695
2314,ewwwwww,-0.0019853974356909866
2628,smfh,-0.001946284708423824
2617,eww,-0.0019356117190500474
945,warned,-0.0019173799231933172
2640,aucun,-0.0018865782232022506
817,verkeerde,-0.0018770281119766404
964,camiseta,-0.0018455828668166464
1686,smdh,-0.001837132847871715
2124,wtf,-0.0018282033651704681
1497,disgusted,-0.001828023365591405
1879,paranoid,-0.001806272059608017
541,wordt,-0.0017932384430187553
657,accidentally,-0.0017881671834532769
1569,nydailynews,-0.0017629479839362768
1173,bekend,-0.0017577990768391889
1943,bully,-0.0017553754735610376
2434,takut,-0.001739382598273147
269,smh,-0.0017181753007399333
1303,rabid,-0.0017132318842315627
856,upsetting,-0.0016856882583286856
1963,idk,-0.0016645514720488286
1904,britney,-0.0016596344059404064
922,leeg,-0.001655875735666455
2672,hershel,-0.0016523694265209695
433,rapist,-0.0016472648051705664
1164,deactivated,-0.0016358269225439756
1496,disgusting,-0.0016318700195615708
1029,alcatraz,-0.0016141843747930768
2318,indians,-0.0016068055430343146
1913,niggas,-0.0016065370667663586
1205,douches,-0.0016026229825815393
1190,ugly,-0.0015797462763499559
1038,confused,-0.0015775607551690304
2004,volgens,-0.0015752475541616457
1109,iemand,-0.0015631754565196847
1214,maar,-0.001557338922359495
144,stupid,-0.0015497809938906436
751,newsnight,-0.0015435394741961088
2020,delete,-0.0015393751983896154
1136,aggressive,-0.0015327300333326057
2006,gaat,-0.0015301871242326408
2244,hijack,-0.0015294005079789519
2590,slecht,-0.0015205606849234673
2765,nigga,-0.001515362441881387
2473,hide,-0.001488339827500179
1350,angry,-0.0014744698988377735
2690,houden,-0.0014614199997029537
134,abuse,-0.0014478623625444607
2007,niet,-0.0014449663587025533
1754,phobia,-0.0014301894411967212
2330,dit,-0.00142559328178365
272,killed,-0.0014208547601509617
2741,jajaja,-0.001417742964243857
354,fear,-0.001409937221025384
2751,moeten,-0.001409330706888121
1768,provoked,-0.00140884573315861
1571,police,-0.0013988588082054524
688,contre,-0.001389810514853303
2291,hurt,-0.0013880775036629012
999,gekomen,-0.0013861573363043063
1674,nederland,-0.0013857693704934328
1399,fake,-0.001384778647753612
917,hoofd,-0.0013797413857589576
626,sais,-0.0013714112907471077
1543,offensive,-0.0013704667096431026
947,prohibits,-0.0013696677258795969
148,mistrust,-0.001357052076980593
2484,heeft,-0.001354505849801695
207,dems,-0.001353698557258095
1751,phobias,-0.0013510847629847771
1878,censoring,-0.0013452109810839048
583,eigenlijk,-0.0013423249749409218
971,fearing,-0.0013393598065031926
783,soldados,-0.0013383733899541852
1972,ppl,-0.0013076911074324563
1446,stfu,-0.0013076265028231318
2564,bereikt,-0.0013045441284890076
1306,saw,-0.0013007463860487685
2135,nah,-0.0013004627510962664
535,dont,-0.001292975050002556
1752,phobophobia,-0.0012921684652927522
2601,ganna,-0.0012904729051007756
479,unaware,-0.0012826412727081026
1100,screamed,-0.0012805702540661587
1450,omfg,-0.0012802739355804254
2051,taboos,-0.001278865850741295
1942,mafia,-0.001278798471826241
1227,erase,-0.001278769930389472
766,cody,-0.001278199572461338
2474,unsafe,-0.001277794750787905
745,scary,-0.001273874945397828
708,damaging,-0.001269484180961735
2537,shaq,-0.0012688346415084635
238,helemaal,-0.0012552567483813052
2730,olvido,-0.0012535078089310476
2137,shame,-0.0012526150132577418
2396,dislike,-0.001247327051209795
1108,moet,-0.001243257070144498
1,iets,-0.001240469941522717
1880,antagonists,-0.0012361566332839947
512,warning,-0.0012341495113131734
1579,bootleg,-0.001231340814077315
2297,rejected,-0.0012296554363969332
2370,patriots,-0.001228463306394633
2320,laatste,-0.0012249460919508477
453,dnt,-0.0012220926289327858
881,omg,-0.0012194870669142044
2099,hates,-0.0012194589313690998
2323,eindelijk,-0.001213500299499679
1455,destroys,-0.0012067232578712149
857,fan,-0.001205338868627418
2493,lmao,-0.001203534827533789
1925,gf,-0.0012010921261565073
2799,tanto,-0.0011998492332821432
2279,aliens,-0.0011994588610586302
2526,regarder,-0.0011982241809186623
2162,oublier,-0.0011924381737541889
2490,trash,-0.0011909911682262033
1134,winkel,-0.00118966634866151
2219,gaan,-0.001189462163107965
1316,idiot,-0.0011856418857695806
1901,forgot,-0.0011740746362980936
441,wrong,-0.0011728217412307325
1093,stalking,-0.0011724446771448041
2626,uwp,-0.0011716952789091871
1360,nigger,-0.0011665308372353596
1195,nasty,-0.0011664502285086238
2541,antoine,-0.0011605172384769645
1759,kunnen,-0.0011589131089546963
315,o.o,-0.0011578180167040586
397,laatst,-0.0011491279154457379
1618,prohibit,-0.0011485750982239968
1307,guy,-0.0011480149652774666
1420,neither,-0.0011475003270994147
1501,justin,-0.0011472895637882725
2003,eens,-0.0011455762224785622
848,annonce,-0.001144898676340603
2703,prolly,-0.0011444508559273563
814,erachter,-0.001141637859991098
569,hahahahah,-0.001139567979335705
1121,weapon,-0.0011385798977226287
1705,doesnt,-0.001132817419849414
520,oops,-0.0011304681647089296
893,seinfeld,-0.001129328487170365
1852,frat,-0.0011289808845777567
920,alleen,-0.0011223179026357806
1080,dude,-0.0011171380728519289
275,losing,-0.0011162143929408898
1506,freak,-0.0011146316543137436
1217,zijn,-0.001111803469754385
710,prevent,-0.001109837576405579
2213,haunts,-0.0011095880263088723
83,idiots,-0.0011083724420133012
91,opposed,-0.0011079835417885015
1315,underrated,-0.001107930619542177
667,punished,-0.0011049108187391218
755,rioters,-0.0011034776416082423
956,mirar,-0.0011022190674108874
747,ricki,-0.0010994106997853142
387,weer,-0.0010948661333139696
230,gisteren,-0.0010899335772215466
887,showed,-0.0010877972503409723
1440,kill,-0.0010814084590570106
2790,incompetent,-0.0010810061103421413
2551,gross,-0.0010751804323326697
1152,landen,-0.0010721890538293818
1540,assholes,-0.0010720986745949587
821,zetten,-0.001071174839333769
1753,mortified,-0.0010652013429763504
2280,snakes,-0.0010643963859300453
386,ik,-0.0010642180060823532
2164,regrets,-0.001060233280717712
1162,straightup,-0.0010563015960826205
2237,wayy,-0.001054660832512721
1582,anymore,-0.0010530897338789829
800,quand,-0.0010523175903093464
1832,vs,-0.0010510479719548435
1198,rhoa,-0.001048790409533261
1386,benieuwd,-0.0010462401033236406
2769,gewoon,-0.0010450218424801051
916,idee,-0.0010438090325959571
1431,anger,-0.0010422118860881739
420,apologize,-0.0010419187884227051
797,broke,-0.0010405404616657757
1839,havent,-0.0010394837275018141
1179,vanavond,-0.0010384545074021547
641,frauds,-0.0010377343821912817
538,isnt,-0.001032123936496057
1103,cuz,-0.0010287750495306634
446,woow,-0.0010254180551818686
2472,behavior,-0.001024797362289718
812,het,-0.0010216070398555467
1600,knew,-0.0010153992559586197
2489,zelf,-0.001015390679923695
263,fails,-0.0010125796091112282
395,voor,-0.001008397657764161
1671,rebel,-0.001006097669575307
1153,spams,-0.001006062982976007
1854,manipulate,-0.001003837680576511
1186,thinks,-0.001001018171651831
2662,defends,-0.0010002210958427933
1137,lame,-0.0009985197927159682
1723,accused,-0.0009946093004320423
1266,meh,-0.0009935381976031012
29,hate,-0.000990568642321341
1036,attack,-0.0009905067061804274
2094,risking,-0.0009903818549957806
82,ironic,-0.0009894093741258734
101,seen,-0.000986588472434234
384,wat,-0.000985731875900008
1758,oftewel,-0.0009841766991502683
1191,chick,-0.0009815758066284237
1473,norris,-0.0009774507040445108
1363,ex,-0.000973212439095382
2200,bummed,-0.0009652747389430455
1453,spider,-0.0009641371596905269
2602,faced,-0.000963646235793219
2287,juss,-0.0009631265108333046
2186,russell,-0.0009618611005197664
1105,bite,-0.0009584189722062376
1388,mensen,-0.0009570663314769732
2179,succumbed,-0.0009570379065393757
2629,cena,-0.0009556677335014437
2574,irrelevant,-0.0009548913906655239
1174,maken,-0.000952384203914499
233,surprise,-0.0009487163170774375
262,never,-0.0009468448174690402
1387,hoe,-0.0009467891423363119
2586,nike,-0.0009447807171827855
424,denial,-0.0009435932042251771
1380,1-0,-0.0009432227524698059
1886,player,-0.0009417012750371134
84,arrogantly,-0.0009390812677416016
750,lose,-0.0009382341770255421
2731,camara,-0.0009381549535792899
2514,fuckin,-0.0009376293733809678
1541,facepalm,-0.0009366642924561989
1706,kinda,-0.0009358171406869037
585,worse,-0.0009309595048145309
1085,detrimental,-0.0009290815995967772
1990,happened,-0.000928818533032401
1039,cant,-0.0009287588838432873
957,clse,-0.0009282104841869775
1875,russia,-0.0009258373171933332
396,eht,-0.0009248964699545433
1786,superbowl,-0.0009226825703318501
630,impressionnant,-0.0009179808492389672
1385,echt,-0.0009169795821194427
660,penis,-0.0009168868847658392
1476,ghetto,-0.0009166737753778366
1087,coney,-0.0009162478560920821
208,racism,-0.0009146271389025044
2639,connais,-0.0009143793446612592
2310,rex,-0.0009124573153438161
458,plz,-0.0009108288410309503
938,pic,-0.0009093755467839054
408,looked,-0.0009086861229806768
2654,horrible,-0.0009085565511169041
986,daarin,-0.0009070039899823035
13,die,-0.000905641380816263
2097,annoying,-0.0009045018756095001
2,hulp,-0.0009016350689279525
811,aam,-0.0008990793885292588
2248,speechless,-0.00089852111029503
2174,regarded,-0.0008954002003594904
1312,syndrome,-0.0008949422234509611
854,loner,-0.0008942302233369544
731,sucks,-0.0008940926958239659
840,tells,-0.0008940443027262007
1141,fb,-0.0008937375413161034
696,despise,-0.0008901861505005249
2167,boyfriend,-0.0008889569064066127
2533,juwan,-0.0008868613645754177
289,anyone,-0.0008853077157982375
836,bc,-0.0008810974341229988
1628,louco,-0.0008773080189070955
890,tried,-0.0008755856866756079
445,worst,-0.0008745640013271602
2683,sketchy,-0.0008732677166363288
1894,dick,-0.0008719633188901584
2491,admit,-0.0008718923108249797
495,tweet,-0.0008717120533303809
759,guess,-0.000870192018940653
2282,centipedes,-0.0008692885840901322
1976,obvious,-0.0008690769937081784
437,rape,-0.000868780626021531
1133,naar,-0.0008672833640884752
8,apparently,-0.0008656274270728479
2404,michigan,-0.0008630065508996915
118,fuck,-0.000861751719968619
2705,idc,-0.0008611413548538738
117,why,-0.0008611399785617508
2771,exposed,-0.0008597300396935416
819,elkaar,-0.000858925484696034
1243,hmm,-0.0008576826398222136
1204,obnoxious,-0.0008569780321348282
38,says,-0.000855865796000731
2411,names,-0.0008553209490139192
911,laat,-0.0008545348216779839
809,dat,-0.0008541748379099595
181,name,-0.0008534625223258774
2039,watched,-0.000852087805919692
51,dirty,-0.0008506282186465859
1684,probably,-0.0008499427563975863
1522,affect,-0.0008494724257315935
1521,ontvanger,-0.0008493232836011348
1575,barricade,-0.0008477181261102451
2303,enemies,-0.000846982116853782
1693,uh,-0.0008461480243061716
1738,idiot-,-0.0008452832219456852
1333,disagree,-0.0008450761630369458
2734,tienen,-0.0008418881569541392
2653,poser,-0.0008413108985313287
2216,npc,-0.0008408139646498647
859,sad,-0.0008397374302523643
2425,roosevelt,-0.0008393762673321396
1633,posso,-0.0008387631108288812
1417,blogtv,-0.0008373981385815777
1920,pulls,-0.0008373573478089486
1715,shirt,-0.0008366115825007669
2381,stab,-0.0008329372258489918
760,missing,-0.0008279199800929793
1604,shittin,-0.0008276131983838906
1721,guesswhat,-0.0008272202916176781
2176,destructive,-0.0008247004704160198
2592,vinger,-0.0008246570858519449
2342,awkward,-0.000822546799165361
883,fail,-0.0008204289803437822
2255,drove,-0.0008188356117777186
1687,fucked,-0.0008163019972666815
1874,germany,-0.0008162335919052777
5,toch,-0.0008157319792500586
1269,some1,-0.0008132632699146377
607,elopement,-0.0008122506173145343
966,quien,-0.0008117144427839947
1188,bitch,-0.0008114144028647445
544,deur,-0.000809378799686552
549,zelfs,-0.0008069153743765799
1572,aggressively,-0.0008060927791432199
815,komt,-0.0008042844479404839
1011,weird,-0.0008016153915954077
2029,ttk,-0.0008006499278203132
209,closemindedness,-0.0007998623134761897
2487,ook,-0.0007974802955861927
2215,yeah,-0.0007974368404333922
1599,btw,-0.0007951696897945064
2785,bitter,-0.0007907103213228679
110,dodo,-0.0007836669794895285
1910,panties,-0.000780059437494287
1608,crashed,-0.0007779535601225082
1772,fools,-0.0007778985476150761
2743,rip,-0.0007777201437867148
663,mean,-0.0007747146941076441
553,een,-0.0007744328005298095
6,?,-0.000774416234194835
1071,sneak,-0.0007739307316287837
2093,verge,-0.0007711203458116272
1558,tweets,-0.0007651358222505032
2679,wht,-0.0007637038989344118
2796,non,-0.0007610342088995098
1101,told,-0.0007609563663553339
2476,stealing,-0.0007600959090832054
2644,notre,-0.0007573218178788048
1241,tryna,-0.0007543363554603294
1364,died,-0.0007542048481380926
330,against,-0.0007521017406562602
217,trick,-0.0007515000152608801
1235,thhink,-0.0007513936532163631
2152,gut,-0.0007493378985921486
2762,tattoo,-0.0007485472614500183
333,rage,-0.000746460258200536
792,tumbr,-0.0007463099105880854
2554,brandon,-0.0007457004937452337
2659,sandusky,-0.0007442170109528664
1273,posted,-0.0007433823669571106
735,reply,-0.0007432958147910727
1648,protect,-0.0007431342311211866
2050,condemning,-0.0007427920784911033
2379,failure,-0.0007422410796680259
1330,terrible,-0.0007416069542322639
1876,military,-0.0007415788321094796
757,actions,-0.0007410607134412654
2117,server,-0.0007409818763646795
672,guys,-0.0007406869669043962
564,because,-0.0007377557640092322
2732,ps3,-0.0007371438766124549
628,comment,-0.0007362757689705946
1566,pity,-0.0007338232721149553
871,omar,-0.0007328595801281654
2549,foreveralone,-0.0007314490813108591
1519,zat,-0.0007273228983320977
2721,indonesian,-0.0007264193182815718
2740,este,-0.0007235187326635305
694,weak,-0.0007199073138773567
152,ever,-0.0007197143997347311
1955,bet,-0.0007183411974312151
2563,canada,-0.0007177068272447715
1194,anyways,-0.0007170112378064847
2170,juggernaut,-0.0007138316621229609
935,nbc,-0.0007104795203645293
2645,parle,-0.0007097142500880176
2568,potentially,-0.0007090981106895346
1663,unlived,-0.0007079737278060127
1528,knows,-0.0007056534707101313
