,Word,Value,Freq
2853,manipulated,-0.8883721232414246,1
8670,pleading,-0.5993636250495911,1
7316,stored,-0.5507155656814575,1
4710,riddance,-0.48989397287368774,1
4709,instinct,-0.48989397287368774,1
4559,shots,-0.48802870512008667,1
4505,smile,-0.47148990631103516,1
7704,manslaughter,-0.43354159593582153,1
8506,strangers,-0.4002693295478821,1
7216,salley,-0.37440622225403786,1
1407,dissapointing,-0.36880772188305855,1
5093,didn;t,-0.3646995425224304,1
6080,c.,-0.3167288154363632,1
647,morons,-0.3038939982652664,2
7213,corrections,-0.30356937646865845,1
7212,assaulting,-0.30356937646865845,1
6992,kindof,-0.30197177827358246,1
8069,surf,-0.3010078649967909,2
6769,requires,-0.30009645223617554,2
4340,packed,-0.2979143559932709,1
4844,suitcase,-0.2825905680656433,1
6993,mishap,-0.2780507281422615,1
8572,plaintiffs,-0.2769418954849243,1
7654,ups,-0.2754209339618683,2
6572,vegan,-0.27027103304862976,1
1857,romantic,-0.2697596251964569,1
6940,pipedreams,-0.2681170105934143,1
3611,gandhi,-0.2676345109939575,1
5332,phones,-0.2658395767211914,1
5849,tactic,-0.26106929779052734,1
2537,extinctions,-0.2596941590309143,1
6418,corrupted,-0.2593671381473541,2
6417,premise,-0.2593671381473541,2
4620,creeps,-0.25864937901496887,1
1174,compliant,-0.25726765394210815,2
6489,skyrocketed,-0.2538631856441498,1
7163,stressing,-0.24988363683223724,1
7877,sufficient,-0.2462335228919983,1
8120,wrists,-0.24366959929466248,1
6602,construed,-0.23772360384464264,1
2306,labradors,-0.23764260858297348,1
6102,subhuman,-0.23551783710718155,1
2538,conservatives,-0.23453591763973236,2
1643,politican,-0.22976801544427872,1
3454,incase,-0.2292959839105606,1
3936,roosevelt,-0.22748427093029022,1
5494,popularity,-0.22690539062023163,1
8662,lmao,-0.22615067660808563,1
5966,museums,-0.22590170800685883,1
6096,colonialism,-0.22329308092594147,1
3774,louisiana,-0.22279639542102814,2
4017,comedians,-0.22244757413864136,2
7072,bands,-0.2221432477235794,1
283,ptsd,-0.21739622950553894,1
6415,gawker,-0.21323774755001068,2
3449,miners,-0.21071770787239075,1
6341,ceos,-0.2101999670267105,1
8311,contradicts,-0.20822856575250626,1
2284,travesty,-0.20783516764640808,1
8209,zambia,-0.203736811876297,1
2989,interfering,-0.20223969221115112,1
7520,razed,-0.2012389749288559,1
7858,feminism,-0.2002410590648651,1
2752,manual,-0.19657331705093384,1
7179,comprhend,-0.19579485058784485,1
1167,pruitt,-0.19565938413143158,1
7581,deems,-0.19531208276748657,1
7828,labor,-0.19527512788772583,2
5618,craziness,-0.19373753666877747,1
8383,craziest,-0.19348101317882538,1
4529,lockets,-0.1901189312338829,2
2528,annoys,-0.18986892700195312,1
267,slap,-0.1893571801483631,2
3840,bhat,-0.1877272129058838,1
6430,toughie,-0.18717867136001587,1
5884,nonprofits,-0.18659600615501404,1
3306,fudging,-0.18383083678781986,1
5575,twist,-0.18300075829029083,1
5888,loon,-0.18219010531902313,1
5846,convention,-0.18124935030937195,1
2700,pinning,-0.18005186319351196,1
7436,reservations,-0.17967794835567474,1
8104,unfortuanetly,-0.17653443105518818,1
4753,weaponry,-0.1756914258003235,1
8242,armadillos,-0.1753995418548584,1
6222,include,-0.17470169067382812,1
3226,obsurb,-0.1742299199104309,1
6199,prisons,-0.17020308040082455,4
6294,chavez,-0.16963638365268707,1
3038,morbid,-0.16880309581756592,1
3900,jokes,-0.16871732970078787,3
8346,immature,-0.16838295757770538,1
5711,annoying,-0.16734282672405243,2
1520,nets,-0.16639657318592072,1
7115,bundy,-0.1660638451576233,1
3958,richard,-0.16590256989002228,1
6643,witnessed,-0.16521000862121582,1
434,shop,-0.16500303149223328,2
8199,violations,-0.16488541662693024,1
3167,suppose,-0.16271708408991495,6
1880,revolutionized,-0.16262857615947723,1
6312,hardest,-0.16227881610393524,2
3239,secured,-0.16221773624420166,1
