text,label
this kind of stuff always makes me afraid to even go outside.If there is something to catch someone will just bring it to others and it is just something that is horrible and not what I would want to put onto others.It makes me afraid that it could spread and would make things worse for everyone and drive others to panic.,1
"This ticks me off for two reasons: One, that we've messed up the Australian ecosystem so badly, and two, that people are going to read it and say ""Oh, no, it wasn't climate change at all, so we don't have to do anything to fix it."" Either way, it was man-made problems that did this little guy in. I wish they would blame it thoroughly on climate change, so people would maybe be spurred to do something. Instead, right now they'll say ""Oh, it wasn't *really* climate change,"" and when a more clear-cut extinction happens, they'll point back to this and say ""Well, it's been going on for a long time now, nothing we can do."" Christ.",1
"Get too close to a skunk, and it will spray you with a noxious mix of sulphuric thiols, the chemicals in raw onions that make you cry.The spray doesn't just stink: it chokes your lungs and causes temporary blindness, allowing the skunk to get away.The scent is produced in anal glands at the base of the tail, and is fired through nipples attached to the glands. Impressive muscle control allows skunks to target their enemy's face at a distance of over 2m.Without this deterrent, the slow-moving skunks would be unable to escape from predators.",1
Apparently an actor was found dead in a Talk show host's home. Not sure what occurred but you have to feel sorry for those close to them. I certainly don't want to be negative and assume that demons finally caught up with him or an assault of some sort occurred but it is odd and they clearly have family who lost a loved one. It a shame that someone with talent to entertain and act would lose their life at a younger age and I guess it could be any of us but it's sad foor thoose  who knew him and my heart goes out to them.,1
"These poor people! It seems like they really can't catch a break. Like it isn't bad enough that they are already trying to dig themselves out of their tough economic situation and losing their homes, but now they also have to worry about a population decrease. It's pretty clear that we need more aid and more help for these people in the area.",1
"There has got to be a better solution that we can all come up with to make sure that these deaths are stopped or at least decreased. I understand making sure that the elephants are safe, but people should take priority as well. There are people fearing for their lives. What can their country do about it, and if their country can't, when will another country come in and offer their assistance?",1
I think what the father did was a noble gesture.  Sometimes justice isn't always served in jail.  I think it is a shame that he is being punished for what he did.  What is more important however is that the father got his revenge.  Sometimes it is necessary to take justice in your own hands.  I applaud the father for what he did.,1
It is very sad to know Robert died. He was a great actor. You never now when your time is going to come. I get very worried of my own health. There are so many sicknesses and diseases. I tried to get checked annually at the doctors. I hope they come out with a cure for these diseases and sicknesses. I feel like Robert did live kind of a long life. Robert has made good memories and I think that is very important when living . I want to make a lot of good memories now that I'm alive. Everyones life should have meaning just like Robert's.,1
"Of course they don't see well as they age! They're so much like us, even in the small details of how they stretch their arms to be able to perform their work. Just like my dad when he can't find his glasses and tries to read his magazine. I can't even comprehend why some people won't see how similar animals are to humans - how actually humans are animals. It blows my mind every day.",1
"Awful news article. Us as a society need to do a better job of protecting and helping not only our planet, but the animals and mammals that surround it. The fact that almost 100 percent of the caimans are suspected to be dead is alarming and people should be more informed on such matters. The rate of extinction that these animals and mammals are going through on our planet is extremely alarming and I can not figure out why people aren't more concerned or even aware of the matter. We need to do a better job of protecting ALL living matter on this planet, not just ourselves.",1
"This article I just read is incredibly intellectually dishonest. The notion that women were somehow exiled from talking points and inclusion in the Trump campaign is actually nauseating. This kind of narrative is truly what the modern liberal exists upon. It's disgusting. I'm not a Trump fan, but mark my words, this kind of crap will be the reason why he wins in 2020.",1
"I'm saddened to hear the news about his passing.  In my experience I believe that comedians get into the field due to an aspect of the desire to help people and give them a few laughs.  Don't think I recall his comedy acts but reading through the tributes I get the sense that people liked him alright and that he was a good guy.  His tagline is great - ""that's not right.""  As if he internalized a solid sense of right and wrong.  So I didn't know his work but I think I like him.",1
What I learned about nature is that they cannot be predicted. Nature can look beautiful in one instance and can kill you in the next. Take a look at this shark incident. poor guy was play a game with some buddies and lost his life for no reason. Today you are here and tomorrow you are gone. Try to live as long as you possibly can before some shit comes along and tries to take it away.,1
Micheal Moore was right about this. Trump could and did win. The more we dismissed him the stronger he got. I can't stand his attitude and his lack of compassion. But I can understand how he won. Voters were fed up with the traditional lifetime politicians. I think Hillary lost the election more than Trump won it. A lot of people didn't trust her and wanted a change. Now good or bad we have change.,1
"I think this article is really inspirational. I didn't realize how much food we waste and how inefficient we are in this respect. I would like to change the way the world behave but this would be a big undertaking and I think it may be too big. There are small and big things that we can do with our daily meals and meal planning that can help with this problem of food waste but I think it will take more time and money to implement it. And im not sure what percentage it will get us towards 0% waste. If it gets us less than 1% more efficiency in how we use food, than it may not be worth the effort, and we may need to look at other ideas. Combating food waste could also lead to an increase it food poisoning since questionable foods in our refrigerator are thrown away as a precaution.",1
"I'm really confused at why multiple articles were mushed together like this. At first I was perturbed at the first article because I felt like the lady was being ridiculous. She weighs 500 pounds, so obviously a 1200 calorie diet is going to cause her to lose weight, the fact that she can't find a scale to weigh her doesn't matter. You don't need a scale to tell you're losing weight. Measure your body with measuring tape. But then I got to the article about the Mexican students and found it really horrifying. I can't believe the terrible things people do to one another :(",1
"It is very upsetting to hear about a family losing their children in such a freak accident way. As a parent myself I can only imagine the horrible feelings that this family is going through and how everyone must be feeling right now to lose these little girls as such a young age. No one should have to bury their own children, it is just terrible.",1
France plans to shut down the jungle as they call it. This was where they kept illegal immigrants trying to make their way to Britain. I certainly feel for anyone looking for a better life and at times wish all countries had open borders as this one isn't so great at times but we do have laws and many immigrants enter other countries legally and I think there needs to be some sort of controls that make the process fair to legal citizens. I feel for the immigrants but it's hard to support their actions when they could also do so legally as opposed to sneaking in by way of hiding in trucks.,1
"I just don't understand how this is the country that we all say we love and adore, but yet when others come here there are so many stipulations for them, and then even when they succeed at jumping through all of the hoops they are forced to, they have even more guidelines behind that. It's just so unfortunate that these refugees will feel unsafe and ultimately feel like refugees for the rest of their lives.",1
"This article highlights the fact that we might be going on about our lives, secure in the knowledge that everything is fine, but then suddenly when you least expect it, we are reminded of our own mortality. It makes me want to live each and every day as well as I can, because I never know if it might be my last. Sometimes we think we have forever, but this article is a reminder that each day we live on this Earth, imperfect though it may be, is a gift.",1
"JUst when you think things couldn't get much worse! I just can't imagine who in the world would kill, then mutilate a baby horse! It pretty much sounds like someone with a mental health issue is running around crazy with a gun. It is nice to know so many nonprofits are not only engaged in finding this criminal, but also to prevent this from happening again, I think the adult horses  were in better shape and that's why they survived. What kind of lazy loon would mutilate the little horse's genitals?",1
"This article I just read was so, unbelievably sad and tragic.  This incident is so horrible.  Such a gruesome death.  I can't imagine being that two year old and falling for so long.  Ugh, it makes me so upset.  I feel so bad for the parents, they must feel so guilty.  It would be so hard to overcome everything.",1
I think its sick having these kids working. These kids should be playing and having an education. Why are they doing this? This just shows you how much people care about money. Its disgusting. Human beings are disgusting. I feel so ashamed. God will punish all of these people. We are just being controlled. Someone needs to put this to an end. I really hope these children get the life they deserve. This is why there is a lot of people suffering from depression because of these terrible things going on.,1
"It is known that colonoscopy saves lives, but the preparation can be so unpleasant. I am so happy that researchers are working towards making it more tolerable so that more people will undergo the procedure that can save their lives. I am happy that many different options are available: not all involving colon cleansing (e.g. X-rays), that there is a dietary advice to minimize the discomfort (which food to eat before the procedure), etc. So, the person’s quality of life, their well-being in the short term is taken seriously into account.",1
hello brother I am learning the news I am very happy that you are already in sacrament I am happy that after completing your dream of playing in the NBA is a great time for you and you should know how to take advantage of this great opportunity take care of yourself and succeed.I'm really very proud of you,1
"How can anyone, in this day and age, still believe that climate change is not real? I imagine it's the same people who believe the earth is flat. We should be working towards clean and renewable energy but of course there are fights all across the way because people want to make money. Also replacing infrastructure is hard. But, that's not an excuse when you know that entire parts of the country might expand into a desert. This is especially true of North America.",1
"It is just so messed up that there are so many places in the world without easy access to clean water. The answer is never to privatize or ""modernize"" the water system of a place, as that is really just an excuse to implement political policies. It is just bizarre that our modern water systems in urban areas are so woefully lacking. Even desert areas of India get enough rainfall each year that a simple catchment system would solve all of a community's problems.",1
"Hundreds of people marched through the city, disrupting traffic and spray-painting graffiti. Authorities reported instances of vandalism and assault during a rally that organizers had billed as peaceful earlier in the day. In other parts of the country, spirited demonstrations on college campuses and peaceful marches along downtown streets have taken place since Wednesday. –– ADVERTISEMENT –– A mainly peaceful protest by about 3,000 people ended in Los Angeles early Saturday with about 200 arrests for failure to disperse after police broke up the lingering demonstration. Hundreds joined a Friday afternoon “love rally” in Washington Square Park in Manhattan.",1
It's truly awful anytime some sick minded individual decides to take the life of others for literally no reason other than just to do it. Arcan Cetin was believed to be the one who shot up a maul and killed numerous people. It really is alarming at what goes wrong in these people's lives that makes them do such thing.,1
"Wow, what a horrible and terrifying accident,I feel very bad for the people involved and their families. I wonder what caused this terrible accident, I hope that it was not any human error, because that makes it worse to deal with. I cannot imagine being on that train and the intensity of the accident. It makes me feelvery sad thinking about the deaths of those people on board.",1
"I always feel bad when women talk about their experiences with sexual assault because you know how I feel about that but I want to put it into words anyway. I feel like it's always on the women to be the ones to hold men accountable and to report it and everything but I'm so frustrated by the fact that men won't take a bigger stand. Men should hold each other accountable for sexual assault and encourage each other not to do it instead of making jokes about it all the time. I'm just so frustrated by how there are so many stories of women that are suffering needlessly at the hands of these arrogant men and yet women have to endure a lifetime of trauma from it and men usually get away with a slap on the wrist, it really just makes me so sick to my stomach, I hate it so much.",1
"Wow.. di you see this?  Delicia Taylor is suing the makers of this product.. Soft Sheen Carson Optimum Amly Legend No Mix, No Lye Relaxer.  She has bald spots, Burns, blisters and pain from using this.  Do you know anyone who uses this?  If you do have them check out this link.  The law suit is for 5 million dollars.. maybe they can get some money..  I think it's terrible that this product was allowed to be sold.  It is awful when someone thinks something would make them look nice but instead ends up damaging them for life.  Be sure to check the article out.. I think there are some pictures out there too. Brace yourself before you look at them.",1
"Reading about the issue of racism in this country brings to many various thoughts. The first of these being, truly, we cannot legislate thought itself. Either we champion free speech for those we find abhorrent, or we stop pretending to care about liberty. People will always suck. At a certain point, it seems we as a society have gotten a lot softer, even as life has become more comfortable. Racists are morons. Do I walk around stressed all day about racists? Hell no.",1
"Here we go again.  Another news report of another earthquake in Chile.  Fortunately this one apparently didn't cause any damage, but it was no slouch either at a magnitude 6.4.  Had the earthquake struck in a little different location, who know what might have happened.  This is the same place that got hit with an 8.8 a couple years ago.  Remember that one?  That was so sad.  It triggered a tsunami and 500 people were killed.  Not to mention the fact that there were 220,000 homes lost.  One piece of good news at least, since the 8.8 earthquake, they have put in a warning system for earthquakes and tsunamis.  Thank God for that.  That certainly can't prevent any earthquakes from happening, but at least maybe it will save some lives if, or should I say ""when"", the next earthquake occurs.",1
I think they should both be charged with murder. It's obvious at least one of them did it but I'm assuming both. It's crazy what this world has come to people just killing people all the time and usually for no reason. It's crazy and people need to be punished harsher. If you kill someone on person for no reason you should automatically get the death sentence.,1
"Corruption in corporations are an everyday occurrence. And it seems more and more the American workers are the victims of these erroneous fat cats. It's deplorable that the CEO gets away with corporate corruption and when the conscious of the workers come into play, they fire and ruin their lively hood. The corporations are in league with Washington due to the money trails. When the money is taken out of politics things will be better.",1
