,Word,Value,Freq
20282,degraded,-4.31711089011926,2
20439,speechless,-2.8029359275139734,2
21119,vexed,-2.284706007328732,4
15104,thoughtless,-1.8436517901604703,1
12407,150.00service,-1.7799085254015439,4
1960,deviant,-1.374587822834505,1
18791,hod,-1.3600305176205927,1
8249,unreliable,-1.3385495698101237,3
5749,compliant,-1.2880714722125988,1
20248,croak,-1.218050355064532,1
22892,déjeuner,-1.1703049988503915,1
22778,overhyped,-1.0448567654647416,2
16493,ruins,-1.0067802579471625,14
16288,https://instagram.com/p/bnsq-ozfvaf/,-0.9929536158099239,3
11393,fuck,-0.97870207490462,19
14212,skeptic,-0.8984474260089087,2
18790,churos,-0.8971147940980884,1
2070,dated,-0.8487660815898529,12
7532,overdone,-0.8480284040966075,18
16825,eazer,-0.8473984359540965,1
5607,cluster,-0.8302498383869777,11
13459,http://webapps.achd.net/restaurant/restaurantdetail.aspx?id=201302080011,-0.7915834506022613,2
22543,molester,-0.7833743457000888,2
15045,09/02/18,-0.7817973856310829,5
20891,http://www.yelp.ca/biz/arepa-cafe-toronto#hrid:pxplj67nbkqa-vcbm8_93w/src:self,-0.7649890433667123,2
21437,privilegiado,-0.7453894634344422,1
18627,8.30,-0.7377920179410197,1
18930,mismatched,-0.7189657639013769,7
2736,nooooooo,-0.7021469955199423,1
21363,besøk,-0.6893409773592141,1
3127,slowest,-0.6705337001603197,20
19233,decouverte,-0.6622753418461764,1
9893,------------------------------------------,-0.6443824460085877,1
22955,gag,-0.6370111284304916,4
20834,skimped,-0.6223578777400627,3
9617,indecent,-0.6204285780194114,3
21358,kul,-0.6027402470669436,1
17150,exaggerates,-0.6022450189986412,1
15014,coutu,-0.5983480877861344,4
23283,excellent!!!.,-0.5835534366945201,1
19109,kefir,-0.5834414702389126,1
7452,cripplingly,-0.5723256439237402,4
8224,rapide,-0.5681445175538378,1
19235,delicieuse,-0.5651938368183087,1
16371,medijieron,-0.5646448981911025,4
1833,overpriced,-0.5579266648231539,164
16171,unattentive,-0.5555397625086075,3
9601,12:00,-0.554636532728526,4
19437,assiettes,-0.5504778279872968,1
4593,overwhlemed,-0.5470785907418303,2
17689,fkry,-0.5435434617671514,1
22629,-------------------------------------------------------------------------,-0.5433781427307628,2
18708,9am-7pm,-0.5333655784537843,3
22747,uninformed,-0.5304778568260101,5
13292,airmiles,-0.5295655390424894,1
15893,"""that",-0.5241862857785693,1
15801,back.next,-0.5228240943224429,1
5484,horrendous,-0.5216348973423371,20
19939,eldorado,-0.5131262163170381,1
22713,d'amato,-0.5083872775688286,5
15075,uneventful,-0.49443724902725067,7
3378,suuuuuuuper,-0.4932447179193619,1
23814,acupuncturist,-0.490230146121908,1
13739,kusama,-0.4900231916680293,1
5500,underwhelming,-0.4838450554375786,22
20913,1-$2,-0.48125780683005004,1
3264,9:45pm,-0.4804182396547627,4
18158,barbare,-0.4798821184206504,2
6234,dissapointment,-0.47731599715253575,6
23564,http://www.youtube.com/watch?v=oczmicfm1a4,-0.4735928256983258,1
24422,actuality,-0.4719023631180135,3
2661,katarina,-0.4717624768614768,3
22039,spooky,-0.4677315623496139,3
14797,8.10pm,-0.46116951981108467,2
23508,carpeting,-0.4603798727121766,1
18542,irresponsible,-0.4561842835459233,2
22709,profetional,-0.4528270900311493,2
23081,irks,-0.44964513250769206,1
22352,wayyyyyy,-0.4490085081962483,4
13322,displeased,-0.447775792213815,8
7404,sopping,-0.447097557329196,7
13847,ancient,-0.43925214509171223,8
16141,mediocrity,-0.4335493958306369,2
23521,misinformation,-0.42786495595157636,2
11093,keltec,-0.4272313028836965,1
9611,lua,-0.4262356138418591,2
22117,7.77,-0.4245821526142386,1
17990,sell)for,-0.419765996791861,2
20289,rundown,-0.4190482762654114,5
12167,laziness,-0.4186576732592268,7
2810,.......,-0.4156179834201597,22
8135,2.5hrs,-0.41075883218631287,2
7954,adlam,-0.41001970821988876,1
6096,nightmare,-0.40964657585386977,28
24234,undesirable,-0.40844531489419145,2
24412,hanbaga,-0.408057241981101,3
21362,verdt,-0.4078197542491542,1
14796,6.50pm,-0.4073033956579475,2
1497,disrespectful,-0.40466659719716225,22
11228,babysitting,-0.4038461033435458,1
13452,achd,-0.40296472644600884,2
11832,inconviniences,-0.4000583092476867,2
8223,grillades,-0.3981994503865558,1
23375,moi,-0.39803927318597765,4
16990,.........,-0.3953980150553111,9
9610,xe,-0.3922287204554158,2
8255,advertising,-0.39093334822351156,24
3720,noes,-0.387680725096087,1
19239,propre,-0.38732525188270395,1
22140,reoccurring,-0.38401967336374065,1
11232,hump,-0.3840023496886766,1
16478,surpising,-0.3823237317411121,1
18556,jitb.,-0.37659321463422535,2
2069,lacking,-0.3749587588989414,93
18553,yuengling,-0.3749005483546406,7
22591,2028,-0.3711910358080974,1
11694,deceiving,-0.3707660531462747,9
21520,epinephrine,-0.3706928053629952,5
20630,"recognized""-",-0.3706055182958047,1
21359,litt,-0.36740578702178195,1
9014,scammers,-0.3672754103367228,6
8388,greatcustomer,-0.36681949786650814,1
22301,-------------------------------------,-0.3659122680047639,3
11023,gaskets,-0.36489852419448354,5
21008,slop,-0.36452064698364134,3
24570,dispoasl,-0.36382269138132817,1
8072,douchebaggery,-0.3627209371950218,2
16285,ig,-0.3597174266448975,3
22839,gooooood,-0.3588624543939889,1
17709,infuriated,-0.3579059753644226,1
7358,inconsistent,-0.35681763375172243,11
13740,dots,-0.3560223054924679,1
7415,disorganized,-0.35581683573791045,17
16740,disappointed:/,-0.35566903351273,3
17320,thebarge,-0.3530187975711695,1
19759,sriachha,-0.35168822605133904,3
9188,royally,-0.34920629862080893,7
24330,uggg!!!!cant,-0.34826180039205545,4
20883,grimy,-0.3470103810226413,4
21778,acupuncturists,-0.34333349257030354,2
21610,4or,-0.3423378923176249,1
23381,presque,-0.3421805796537367,4
16959,overprice,-0.3404336117506023,5
114,disappointing,-0.34037836004169475,220
11998,wobbly,-0.33842114391187406,1
8039,improperly,-0.336398769153153,5
21154,ent,-0.33460100690523764,4
14034,cheesburger,-0.3332009921911685,3
13457,handwashing,-0.33244980640909483,2
23796,rheumatoid,-0.33242186843681,1
3125,dumbest,-0.33211983356540725,6
17125,shabby,-0.3317407252968644,9
24411,izakaya,-0.32955215381832786,3
16140,.looks,-0.32949526974113275,2
13553,inattention,-0.3250507400346896,3
5352,disappointement,-0.324413263983162,1
21361,likevel,-0.3235820878653388,1
8654,6:10,-0.32296375024046575,1
12489,biltmore,-0.32294088455099784,6
6040,"won""t",-0.32177172908432167,5
24666,rhetoric,-0.32056935013664656,3
4805,disapointed,-0.3188342402993803,4
21059,harveys,-0.3173326845428341,1
19945,http://www.yelp.com/biz_photos/ceqwpwhboaxwrcv5btnv6g?select=zg2bak39zop7m6bmzmaf7q#tqe5lahn7spzzw2mlvafag,-0.3172814023640184,1
6814,drooping,-0.3152360714655575,3
15030,today-,-0.31394035493921296,1
12046,warhol,-0.31336787085255974,6
18792,arr,-0.3066572539684666,1
23935,"bar""tender",-0.30568412136921763,3
18551,cologne,-0.3047623842167522,7
15125,reeeally,-0.3045161077248655,5
14004,j.p,-0.3010195778580317,1
8957,incredable,-0.2982244705612317,1
11237,unhealthy,-0.29821432447359975,8
16365,bueno,-0.2977362597056174,9
3329,unacceptable,-0.29691260106243755,52
14794,downgrading,-0.2961133158269591,2
11695,dissappointed,-0.2957752769821579,8
12030,3.30,-0.29551238845083105,5
19082,intestines,-0.2954392051348345,6
19141,watermelons,-0.2931047572912158,2
8181,declining,-0.29263568634219295,5
21420,cockroach!!!!,-0.2906053656628223,1
24510,pizzaiolo,-0.28964253317980765,1
12210,unbearably,-0.28918911136276154,3
6352,brûléed,-0.2877875604980299,3
16931,demolished,-0.2877192357043248,5
17186,amicale,-0.2874984732619321,1
18447,3njpyable,-0.2862200855878685,3
19908,lawrenceville,-0.28456590007173593,5
18042,1/6th,-0.28395622510212104,1
13346,hahaha,-0.28326770750985564,7
24336,5er$.,-0.2829882466697221,1
21789,alligator,-0.281998753935762,1
4620,tepid,-0.2803336081177846,2
14173,dispatchers,-0.28011458376787923,2
10878,emblazoned,-0.27988288011928736,3
11972,donkasu,-0.27967923893551616,2
13151,jamais,-0.27952125363720065,5
21490,italiennes,-0.27839078573877557,1
22811,gosh--$400,-0.2771665853426521,1
23738,http://flic.kr/p/c7gdis,-0.2752514911936385,2
3763,l'été,-0.2750852514040883,2
23378,ferme,-0.27384123169087937,4
3425,7.45,-0.27290927864716574,1
17690,this⁉,-0.2717717308835757,1
14114,buffett,-0.2712252738995431,1
19662,hand.which,-0.27103197541051904,1
4379,awfully,-0.27085559587911023,8
20593,sleepers,-0.26835838876432183,3
17413,ughhh,-0.2681514188944118,1
11979,katsuya,-0.26767141504314823,5
21818,crybaby,-0.2662989024518647,1
18451,uppity,-0.2641652691992241,3
16960,kieffer,-0.26412832259896246,3
18107,horrible-,-0.2638580466793138,9
15891,8/25,-0.26353219214336493,1
24669,bashing,-0.26345714785866275,3
23759,unhealthy-,-0.26273737732623714,3
966,redevelop,-0.2626447764206318,3
22326,quotation,-0.2611443721957488,1
16605,disappoonting,-0.2606058563001148,3
18901,e.h.,-0.2593540508923112,2
21199,whatwhatwhat,-0.2584488239877233,3
13751,cervesa,-0.2580949626077156,1
20527,direspectful,-0.25735348401455393,1
15231,degrading,-0.25625831006246397,4
18845,confidently,-0.25527778063519657,1
6351,eggy,-0.25479671946850807,3
19238,apportez,-0.25476797193053224,1
22506,apecial,-0.2546025065219363,4
16836,corrado,-0.2541885250445055,6
5499,overrated,-0.25404564263631885,24
17006,unbalanced,-0.2539186699717654,1
17792,zealous,-0.2538689512443275,7
5130,understaffed,-0.25318642603828706,35
20666,hypes,-0.2529823003201613,5
